[0:14:36.702398310] [3200] [1;32m INFO [1;37mCamera [1;34mcamera_manager.cpp:297 [0mlibcamera v0.0.5+83-bde9b04f
[0:14:36.861901591] [3235] [1;32m INFO [1;37mRPI [1;34mvc4.cpp:437 [0mRegistered camera /base/soc/i2c0mux/i2c@1/imx708@1a to Unicam device /dev/media3 and ISP device /dev/media0
[0:14:36.862091331] [3235] [1;32m INFO [1;37mRPI [1;34mpipeline_base.cpp:1101 [0mUsing configuration file '/usr/share/libcamera/pipeline/rpi/vc4/rpi_apps.yaml'
[0:14:36.881681591] [3200] [1;32m INFO [1;37mCamera [1;34mcamera.cpp:1033 [0mconfiguring streams: (0) 480x480-RGB888 (1) 1536x864-SBGGR10_CSI2P
[0:14:36.883073102] [3235] [1;32m INFO [1;37mRPI [1;34mvc4.cpp:565 [0mSensor: /base/soc/i2c0mux/i2c@1/imx708@1a - Selected sensor format: 1536x864-SBGGR10_1X10 - Selected unicam format: 1536x864-pBAA
circle true    Sending 0379 36 270 51 0 0    |    3.32 pc/s
Sending 0379 36 0 0 0 0    |    10.86 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.44 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.31 pc/s
circle true    Sending 0379 36 270 50 0 0    |    10.31 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.36 pc/s
Sending 0379 36 0 0 0 0    |    10.75 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.44 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.32 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.35 pc/s
Sending 0379 36 0 0 0 0    |    10.72 pc/s
circle true    Sending 0379 36 267 51 0 0    |    9.76 pc/s
circle true    Sending 0379 36 270 51 0 0    |    9.61 pc/s
circle true    Sending 0379 36 270 51 0 0    |    9.89 pc/s
circle true    Sending 0379 36 267 51 0 0    |    9.72 pc/s
circle true    Sending 0379 36 270 51 0 0    |    9.38 pc/s
circle true    Sending 0379 36 270 50 0 0    |    9.70 pc/s
circle true    Sending 0379 36 270 51 0 0    |    9.51 pc/s
circle true    Sending 0379 36 269 51 0 0    |    10.29 pc/s
Sending 0379 36 0 0 0 0    |    10.03 pc/s
circle true    Sending 0379 36 270 50 0 0    |    9.87 pc/s
circle true    Sending 0379 36 270 51 0 0    |    9.42 pc/s
circle true    Sending 0379 36 270 51 0 0    |    9.24 pc/s
circle true    Sending 0379 36 270 50 0 0    |    9.61 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.25 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.58 pc/s
circle true    Sending 0379 36 270 51 0 0    |    10.09 pc/s
